prefix,function,expansion
"['add', 'pow', 'x', 's+', '4', 'pow', 'x', 's+', '9']",x**9 + x**4,x**4
"['tan', 'add', 'x', 'tan', 'x']",tan(x + tan(x)),3*x**3 + 2*x
"['add', 'pow', 'x', 's+', '4', 'add', 'pow', 'x', 's+', '8', 'mul', 's-', '2', 'pow', 'x', 's+', '6']",x**8 - 2*x**6 + x**4,x**4
"['add', 'pow', 'x', 's+', '1', '2', 'mul', 's-', '1', 'x']",x**12 - x,-x
"['tan', 'mul', 's+', '1', 'pow', 's+', '3', '2', 's-', '1']",tan(1/32),tan(1/32)
"['acot', 'pow', 'x', 's+', '1', '2']",acot(x**12),pi/2
"['sin', 'add', 's+', '1', 'add', 'x', 'pow', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sin(sqrt(x) + x + 1),sin(1)
"['add', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'sin', 'mul', 's+', '2', 'pow', 'x', 's+', '2']",x**2 - sin(2*x**2),-x**2
"['add', 'mul', 'pow', 'x', 's+', '2', 'mul', 'pow', 'add', 's+', '1', 'x', 's-', '1', 'acos', 'x', 'mul', 'x', 'mul', 'pow', 'add', 's+', '1', 'x', 's-', '1', 'mul', 'acos', 'x', 'exp', 'x']",x**2*acos(x)/(x + 1) + x*exp(x)*acos(x)/(x + 1),x**4*(8 + 8*pi)/24 + x**3*(-6 - 3*pi/2)/6 + x**2*(-2 + pi)/2 + pi*x/2
"['add', 'x', 'add', 'mul', 's+', '2', 'pow', 'x', 's+', '2', 'asin', 'x']",2*x**2 + x + asin(x),x**3/6 + 2*x**2 + 2*x
"['add', 'x', 'mul', 's-', '1', 'sin', 's+', '1']",x - sin(1),x - sin(1)
"['add', 'pow', 'x', 's+', '6', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '8', 'mul', 's-', '2', 'pow', 'x', 's+', '5']",-x**8 + x**6 - 2*x**5 - x**2,-x**2
"['add', 'pow', 'x', 's+', '4', 'add', 'mul', 's-', '1', 'x', 'add', 'mul', 's-', '3', 'pow', 'x', 's+', '3', 'mul', 's+', '3', 'pow', 'x', 's+', '2']",x**4 - 3*x**3 + 3*x**2 - x,x**4 - 3*x**3 + 3*x**2 - x
"['add', 'mul', 's-', '1', 'mul', 'x', 'acot', 'x', 'acot', 'x']",-x*acot(x) + acot(x),-x**4/3 + x**3/3 + x**2 + x*(-pi/2 - 1) + pi/2
"['add', 's+', '1', 'add', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's-', '3', '0', 'pow', 'x', 's+', '4', 'add', 'mul', 's-', '3', '0', 'pow', 'x', 's+', '8', 'add', 'mul', 's-', '1', '0', 'pow', 'x', 's+', '3', 'add', 'mul', 's-', '6', 'pow', 'x', 's+', '7', 'add', 'mul', 's-', '6', 'pow', 'x', 's+', '1', '1', 'add', 'mul', 's+', '6', 'x', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '5', 'add', 'mul', 's+', '9', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '9', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's+', '1', '0', 'pow', 'x', 's+', '9', 'mul', 's+', '4', '1', 'pow', 'x', 's+', '6']",x**12 - 6*x**11 + 9*x**10 + 10*x**9 - 30*x**8 - 6*x**7 + 41*x**6 + 6*x**5 - 30*x**4 - 10*x**3 + 9*x**2 + 6*x + 1,-30*x**4 - 10*x**3 + 9*x**2 + 6*x + 1
"['add', 'pow', 'x', 's+', '3', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'mul', 'x', 'acot', 'x']",x**3 - x**2 - x*acot(x),-x**4/3 + x**3 - pi*x/2
"['add', 'x', 'mul', 's+', '1', '6', 'mul', 'pow', 'x', 's+', '4', 'cos', 'x']",16*x**4*cos(x) + x,16*x**4 + x
"['cos', 'add', 'pow', 'x', 's+', '2', 'add', 'pow', 'x', 's+', '4', 'mul', 's+', '2', 'pow', 'x', 's+', '3']",cos(x**4 + 2*x**3 + x**2),1 - x**4/2
"['acos', 'add', 'x', 'tan', 'x']",acos(x + tan(x)),-5*x**3/3 - 2*x + pi/2
"['pow', 'cos', 's+', '1', 's+', '6']",cos(1)**6,cos(1)**6
"['mul', 'x', 'asin', 'mul', 'pow', 'x', 's+', '2', 'pow', 'cos', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",x*asin(x**2*sqrt(cos(x))),x**3
"['add', 'pow', 'x', 's+', '2', 'mul', 'pow', 'sin', 'x', 's+', '6', 'pow', 'tan', 'x', 's+', '6']",x**2 + sin(x)**6*tan(x)**6,x**2
"['add', 's+', '1', 'add', 'mul', 'x', 'tan', 'x', 'sin', 'x']",x*tan(x) + sin(x) + 1,x**4/3 - x**3/6 + x**2 + x + 1
"['cos', 'add', 'pow', 'x', 's+', '1', '0', 'add', 'pow', 'cos', 'mul', 's+', '2', 'x', 's+', '5', 'add', 'mul', 's+', '5', 'mul', 'pow', 'x', 's+', '2', 'pow', 'cos', 'mul', 's+', '2', 'x', 's+', '4', 'add', 'mul', 's+', '5', 'mul', 'pow', 'x', 's+', '8', 'cos', 'mul', 's+', '2', 'x', 'add', 'mul', 's+', '1', '0', 'mul', 'pow', 'x', 's+', '4', 'pow', 'cos', 'mul', 's+', '2', 'x', 's+', '3', 'mul', 's+', '1', '0', 'mul', 'pow', 'x', 's+', '6', 'pow', 'cos', 'mul', 's+', '2', 'x', 's+', '2']",cos(x**10 + 5*x**8*cos(2*x) + 10*x**6*cos(2*x)**2 + 10*x**4*cos(2*x)**3 + 5*x**2*cos(2*x)**4 + cos(2*x)**5),x**4*(-320*sin(1) - 300*cos(1))/24 + 5*x**2*sin(1) + cos(1)
"['mul', 'pow', 'acot', 'x', 's+', '6', 'exp', 'mul', 's-', '6', 'x']",exp(-6*x)*acot(x)**6,pi**2*x**4*(15 + 6*pi*(10 - pi**2/4) + 27*pi**4/8 + 65*pi**2 + 27*pi**3)/4 - pi**3*x**3*(10 + 9*pi**3/4 + 45*pi/2 + 53*pi**2/4)/4 + 3*pi**4*x**2*(5 + 3*pi**2/2 + 6*pi)/16 + x*(-3*pi**6/32 - 3*pi**5/16) + pi**6/64
"['add', 'mul', 's-', '1', 'mul', 'pow', 'x', 's+', '2', 'sin', 'x', 'mul', 's-', '2', 'mul', 'x', 'sin', 'x']",-x**2*sin(x) - 2*x*sin(x),x**4/3 - x**3 - 2*x**2
"['add', 'mul', 's+', '2', 'pow', 'x', 's+', '2', 'mul', 'pow', 'x', 's+', '2', 'sin', 'x']",x**2*sin(x) + 2*x**2,x**3 + 2*x**2
"['pow', 'mul', 'pow', 'add', 's+', '1', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'exp', 'mul', 's-', '1', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sqrt(sqrt(x + 1)*exp(-x)),-487*x**4/6144 + 43*x**3/384 - 3*x**2/32 - x/4 + 1
"['add', 'x', 'exp', 'mul', 's+', '2', 'tan', 'x']",x + exp(2*tan(x)),2*x**4 + 2*x**3 + 2*x**2 + 3*x + 1
"['mul', 's+', '2', 'mul', 'x', 'pow', 'acot', 'x', 'mul', 's-', '1', 'pow', 's+', '2', 's-', '1']",2*x/sqrt(acot(x)),sqrt(2)*x**4*(-4 + 30/pi**2)/(6*pi**(3/2)) + 3*sqrt(2)*x**3/pi**(5/2) + 2*sqrt(2)*x**2/pi**(3/2) + 2*sqrt(2)*x/sqrt(pi)
"['tan', 'add', 'x', 'mul', 's-', '1', 'cos', 'x']",tan(x - cos(x)),x**4*(1 + tan(1)**2)*(-16*(1 + tan(1)**2)*tan(1) - 8*tan(1)**3 - 6*tan(1) + 11 + 36*tan(1)**2)/24 + x**3*(1 + tan(1)**2)*(-6*tan(1) + 2 + 6*tan(1)**2)/6 + x**2*(1 - 2*tan(1))*(1 + tan(1)**2)/2 + x*(1 + tan(1)**2) - tan(1)
"['add', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '1', 'x', 'sin', 'pow', 'x', 'x']",x**2 - x + sin(x**x),sin(1)
"['mul', 'acot', 'x', 'sin', 'x']",sin(x)*acot(x),x**4/2 - pi*x**3/12 - x**2 + pi*x/2
"['add', 's+', '2', 'add', 'pow', 'x', 's+', '2', 'tan', 'x']",x**2 + tan(x) + 2,x**3/3 + x**2 + x + 2
"['sin', 'add', 'pow', 'x', 's+', '3', 'add', 'pow', 'x', 's+', '2', '0', 'add', 'mul', 'pow', 'x', 's+', '2', 'pow', 'sin', 'x', 's+', '1', '8', 'add', 'mul', 's+', '1', '8', 'mul', 'pow', 'x', 's+', '3', 'pow', 'sin', 'x', 's+', '1', '7', 'add', 'mul', 's+', '1', '8', 'mul', 'pow', 'x', 's+', '1', '9', 'sin', 'x', 'add', 'mul', 's+', '1', '5', '3', 'mul', 'pow', 'x', 's+', '4', 'pow', 'sin', 'x', 's+', '1', '6', 'add', 'mul', 's+', '1', '5', '3', 'mul', 'pow', 'x', 's+', '1', '8', 'pow', 'sin', 'x', 's+', '2', 'add', 'mul', 's+', '8', '1', '6', 'mul', 'pow', 'x', 's+', '5', 'pow', 'sin', 'x', 's+', '1', '5', 'add', 'mul', 's+', '8', '1', '6', 'mul', 'pow', 'x', 's+', '1', '7', 'pow', 'sin', 'x', 's+', '3', 'add', 'mul', 's+', '3', '0', '6', '0', 'mul', 'pow', 'x', 's+', '6', 'pow', 'sin', 'x', 's+', '1', '4', 'add', 'mul', 's+', '3', '0', '6', '0', 'mul', 'pow', 'x', 's+', '1', '6', 'pow', 'sin', 'x', 's+', '4', 'add', 'mul', 's+', '8', '5', '6', '8', 'mul', 'pow', 'x', 's+', '7', 'pow', 'sin', 'x', 's+', '1', '3', 'add', 'mul', 's+', '8', '5', '6', '8', 'mul', 'pow', 'x', 's+', '1', '5', 'pow', 'sin', 'x', 's+', '5', 'add', 'mul', 's+', '1', '8', '5', '6', '4', 'mul', 'pow', 'x', 's+', '8', 'pow', 'sin', 'x', 's+', '1', '2', 'add', 'mul', 's+', '1', '8', '5', '6', '4', 'mul', 'pow', 'x', 's+', '1', '4', 'pow', 'sin', 'x', 's+', '6', 'add', 'mul', 's+', '3', '1', '8', '2', '4', 'mul', 'pow', 'x', 's+', '9', 'pow', 'sin', 'x', 's+', '1', '1', 'add', 'mul', 's+', '3', '1', '8', '2', '4', 'mul', 'pow', 'x', 's+', '1', '3', 'pow', 'sin', 'x', 's+', '7', 'add', 'mul', 's+', '4', '3', '7', '5', '8', 'mul', 'pow', 'x', 's+', '1', '0', 'pow', 'sin', 'x', 's+', '1', '0', 'add', 'mul', 's+', '4', '3', '7', '5', '8', 'mul', 'pow', 'x', 's+', '1', '2', 'pow', 'sin', 'x', 's+', '8', 'mul', 's+', '4', '8', '6', '2', '0', 'mul', 'pow', 'x', 's+', '1', '1', 'pow', 'sin', 'x', 's+', '9']",sin(x**20 + 18*x**19*sin(x) + 153*x**18*sin(x)**2 + 816*x**17*sin(x)**3 + 3060*x**16*sin(x)**4 + 8568*x**15*sin(x)**5 + 18564*x**14*sin(x)**6 + 31824*x**13*sin(x)**7 + 43758*x**12*sin(x)**8 + 48620*x**11*sin(x)**9 + 43758*x**10*sin(x)**10 + 31824*x**9*sin(x)**11 + 18564*x**8*sin(x)**12 + 8568*x**7*sin(x)**13 + 3060*x**6*sin(x)**14 + 816*x**5*sin(x)**15 + 153*x**4*sin(x)**16 + 18*x**3*sin(x)**17 + x**3 + x**2*sin(x)**18),x**3
"['add', 'ln', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '6', 'acot', 'x', 'tan', 'x']",log(-x**6 + acot(x)) + tan(x),x**4*(-96/pi**4 + 32/pi**2)/24 + x**3*(-16/pi**3 + 4/pi + 2)/6 - 2*x**2/pi**2 + x*(1 - 2/pi) + log(pi/2)
"['add', 'mul', 's-', '1', 'x', 'mul', 's+', '2', 'pow', 'x', 's+', '1', '3']",2*x**13 - x,-x
"['add', 'x', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'exp', 'pow', 'x', 's+', '2']",-x**2 + x - exp(x**2),-x**4/2 - 2*x**2 + x - 1
"['add', 'pow', 'x', 's+', '2', 'exp', 'mul', 'asin', 'x', 'cos', 'x']",x**2 + exp(cos(x)*asin(x)),-7*x**4/24 - x**3/6 + 3*x**2/2 + x + 1
"['add', 'mul', 's+', '3', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'mul', 'pow', 'x', 's+', '2', 'asin', 'x']",-x**2*asin(x) + 3*x**2,-x**3 + 3*x**2
"['add', 'mul', 'pow', 'x', 's+', '2', 'acot', 'x', 'mul', 'x', 'mul', 'acos', 'pow', 'x', 's+', '3', 'acot', 'x']",x**2*acot(x) + x*acos(x**3)*acot(x),-pi*x**4/3 - x**3 + pi**2*x/4
"['tan', 'add', 'x', 'mul', 'x', 'acos', 'x']",tan(x*acos(x) + x),x**4*(-24*(1 + pi/2)**2 - 4)/24 + x**3*(1 + pi/2)**3/3 - x**2 + x*(1 + pi/2)
"['add', 'x', 'sin', 'add', 'pow', 'x', 's+', '1', '2', 'tan', 'x']",x + sin(x**12 + tan(x)),x**3/6 + 2*x
"['add', 'mul', 's-', '2', 'sin', 'x', 'mul', 's+', '2', 'x']",2*x - 2*sin(x),x**3/3
"['add', 'pow', 'x', 's+', '2', 'add', 'pow', 'x', 's+', '8', 'add', 'mul', 's+', '3', 'pow', 'x', 's+', '4', 'mul', 's+', '3', 'pow', 'x', 's+', '6']",x**8 + 3*x**6 + 3*x**4 + x**2,3*x**4 + x**2
"['add', 'x', 'mul', 's-', '1', 'cos', 'sin', 'x']",x - cos(sin(x)),-5*x**4/24 + x**2/2 + x - 1
"['add', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '5', 'add', 'mul', 's-', '3', 'pow', 'x', 's+', '3', 'mul', 's+', '3', 'pow', 'x', 's+', '4']",-x**5 + 3*x**4 - 3*x**3 + x**2,3*x**4 - 3*x**3 + x**2
"['add', 'mul', 's+', '2', 'x', 'mul', 'mul', 's+', '1', 'pow', 's+', '4', 's-', '1', 'pi']",2*x + pi/4,2*x + pi/4
"['add', 'cos', 'x', 'exp', 'x']",exp(x) + cos(x),x**4/12 + x**3/6 + x + 2
"['add', 'mul', 's-', '1', 'pow', 'add', 's-', '2', 'x', 's-', '1', 'add', 'mul', 'pow', 'x', 's+', '4', 'pow', 'add', 's-', '2', 'x', 's-', '1', 'mul', 's-', '1', 'mul', 'x', 'pow', 'add', 's-', '2', 'x', 's-', '1']",x**4/(x - 2) - x/(x - 2) - 1/(x - 2),-13*x**4/32 + 3*x**3/16 + 3*x**2/8 + 3*x/4 + 1/2
"['add', 'pow', 'x', 's+', '6', 'mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 'x', 'sin', 'mul', 's+', '2', 'x']",x**6 + x*sin(2*x)/2,-2*x**4/3 + x**2
"['exp', 'mul', 's+', '4', 'pow', 'pow', 'x', 's+', '4', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",exp(4*sqrt(x**4)),16*x**4 + 1
"['tan', 'pow', 'x', 'mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'pow', 'x', 's+', '2']",tan(x**(x**2/2)),tan(1)
"['add', 'mul', 's+', '3', 'x', 'cos', 'add', 'pow', 'x', 's+', '2', 'mul', 'x', 'exp', 'x']",3*x + cos(x**2 + x*exp(x)),-59*x**4/24 - 2*x**3 - x**2/2 + 3*x + 1
"['add', 'pow', 'x', 's+', '2', 'add', 'pow', 'x', 's+', '8', 'add', 'mul', 's-', '2', 'pow', 'x', 's+', '5', 'mul', 'pow', 'x', 's+', '5', 'pow', 'sin', 'pow', 'x', 's+', '3', 's+', '5']",x**8 + x**5*sin(x**3)**5 - 2*x**5 + x**2,x**2
"['add', 'x', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '5', 'mul', 's-', '1', 'sin', 'x']",-x**5 + x - sin(x),x**3/6
"['mul', 's-', '1', 'tan', 'add', 'x', 'mul', 's-', '1', 'tan', 'x']",-tan(x - tan(x)),x**3/3
"['add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '1', 'tan', 'x', 'mul', 's+', '2', 'x']",-x**2 + 2*x - tan(x),-x**3/3 - x**2 + x
"['pow', 'mul', 'pow', 'pow', 'x', 's+', '4', 'mul', 's-', '2', 'x', 'acot', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sqrt(acot(x)/(x**4)**(2*x)),sqrt(2)*sqrt(pi)/2
"['add', 'pow', 'x', 's+', '4', 'mul', 's+', '3', 'x']",x**4 + 3*x,x**4 + 3*x
"['tan', 'pow', 'x', 'mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'x']",tan(x**(x/2)),tan(1)
"['mul', 'x', 'pow', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'add', 'cos', 'x', 'exp', 'x', 's-', '1']",x/(-x**2 + exp(x) + cos(x)),-17*x**4/48 + 3*x**3/8 - x**2/4 + x/2
"['add', 'x', 'mul', 's-', '1', 'pow', 'tan', 'x', 's+', '2']",x - tan(x)**2,-2*x**4/3 - x**2 + x
"['add', 's+', '1', 'add', 'mul', 's-', '6', '1', '4', '4', 'pow', 'x', 's+', '5', 'add', 'mul', 's-', '1', '2', '8', '0', 'pow', 'x', 's+', '3', 'add', 'mul', 's-', '2', '4', 'x', 'add', 'mul', 's+', '2', '4', '0', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '3', '8', '4', '0', 'pow', 'x', 's+', '4', 'mul', 's+', '4', '0', '9', '6', 'pow', 'x', 's+', '6']",4096*x**6 - 6144*x**5 + 3840*x**4 - 1280*x**3 + 240*x**2 - 24*x + 1,3840*x**4 - 1280*x**3 + 240*x**2 - 24*x + 1
"['mul', 'pow', 'x', 's+', '3', 'pow', 'add', 's-', '1', 'add', 'pow', 'x', 's+', '5', 'mul', 's-', '1', 'pow', 'x', 's+', '3', 's-', '1']",x**3/(x**5 - x**3 - 1),-x**3
"['pow', 'add', 'pow', 'x', 's+', '3', 'add', 'mul', 's-', '1', 'pow', 'add', 's+', '1', 'x', 'mul', 's+', '3', 'x', 'add', 'mul', 's-', '3', 'mul', 'pow', 'x', 's+', '2', 'pow', 'add', 's+', '1', 'x', 'x', 'mul', 's+', '3', 'mul', 'x', 'pow', 'add', 's+', '1', 'x', 'mul', 's+', '2', 'x', 's-', '1']",1/(x**3 - 3*x**2*(x + 1)**x + 3*x*(x + 1)**(2*x) - (x + 1)**(3*x)),11*x**4/2 + x**3/2 - 3*x**2 - 3*x - 1
"['add', 'mul', 's-', '1', 'x', 'cos', 'tan', 'add', 'pow', 'x', 's+', '9', 'add', 'pow', 'x', 's+', '1', '5', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '4', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '1', '1', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '1', '3', 'mul', 's+', '2', '0', 'pow', 'x', 's+', '1', '2']",-x + cos(tan(x**15 + 6*x**14 + 15*x**13 + 20*x**12 + 15*x**11 + 6*x**10 + x**9)),1 - x
"['add', 'x', 'mul', 's-', '6', 'pow', 'x', 's+', '2']",-6*x**2 + x,-6*x**2 + x
"['add', 'mul', 's-', '1', 'x', 'add', 'mul', 'x', 'pow', 'cos', 'x', 's-', '1', 'mul', 's-', '1', 'mul', 'pow', 'x', 's+', '4', 'pow', 'cos', 'x', 's-', '1']",-x**4/cos(x) - x + x/cos(x),-x**4 + x**3/2
"['acot', 'add', 'pow', 'x', 's+', '2', 'add', 'pow', 'x', 's+', '4', 'mul', 's-', '1', 'x']",acot(x**4 + x**2 - x),-x**3/3 - x**2 + x + pi/2
"['add', 'pow', 'x', 's+', '5', 'add', 'mul', 's+', '3', 'pow', 'x', 's+', '3', 'mul', 's+', '3', 'pow', 'x', 's+', '4']",x**5 + 3*x**4 + 3*x**3,3*x**4 + 3*x**3
"['add', 'pow', 'x', 's+', '1', '4', 'add', 'mul', 's+', '2', 'x', 'add', 'mul', 's+', '2', 'pow', 'x', 's+', '2', 'mul', 's+', '2', 'pow', 'x', 's+', '8']",x**14 + 2*x**8 + 2*x**2 + 2*x,2*x**2 + 2*x
"['add', 'mul', 's-', '1', 'mul', 'E', 'exp', 'mul', 's-', '1', 'cos', 'x', 'tan', 'x']",tan(x) - E*exp(-cos(x)),-x**4/12 + x**3/3 - x**2/2 + x - 1
"['add', 'pow', 'x', 's+', '4', 'add', 'pow', 'x', 's+', '3', '2', 'add', 'mul', 's+', '4', 'pow', 'x', 's+', '1', '1', 'add', 'mul', 's+', '4', 'pow', 'x', 's+', '2', '5', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '8']",x**32 + 4*x**25 + 6*x**18 + 4*x**11 + x**4,x**4
"['mul', 's-', '1', 'acot', 's+', '2']",-acot(2),-acot(2)
"['add', 's+', '1', 'acot', 'add', 'pow', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's-', '1', 'x']",acot(sqrt(x) - x) + 1,1 + pi/2
"['add', 'pow', 'x', 's+', '3', 'tan', 'mul', 's+', '2', 'mul', 'pow', 'x', 's+', '2', 'cos', 'x']",x**3 + tan(2*x**2*cos(x)),-x**4 + x**3 + 2*x**2
"['mul', 's-', '1', 'sin', 's+', '1']",-sin(1),-sin(1)
"['mul', 'x', 'mul', 'exp', 'x', 'exp', 'mul', 's-', '1', 'pow', 'x', 's+', '2']",x*exp(x)*exp(-x**2),-5*x**4/6 - x**3/2 + x**2 + x
"['add', 'pow', 'x', 's+', '4', 'mul', 'mul', 's-', '1', 'pow', 's+', '3', '2', 's-', '1', 'x']",x**4 - x/32,x**4 - x/32
"['mul', 's+', '2', 'mul', 'x', 'pow', 'cos', 'x', 's-', '1']",2*x/cos(x),x**3 + 2*x
"['ln', 'acot', 'x']",log(acot(x)),x**4*(-24/pi**3 + 8/pi)/(6*pi) + 2*x**3*(1 - 4/pi**2)/(3*pi) - 2*x**2/pi**2 - 2*x/pi + log(pi/2)
"['add', 'pow', 'x', 's+', '3', 'mul', 'pow', 'x', 's+', '2', 'cos', 'mul', 's+', '2', 'x']",x**3 + x**2*cos(2*x),-2*x**4 + x**3 + x**2
"['mul', 's+', '2', 'mul', 'pow', 'x', 's+', '2', 'acos', 'x']",2*x**2*acos(x),-2*x**3 + pi*x**2
"['add', 's+', '1', 'add', 'pow', 'asin', 'add', 'pow', 'x', 's+', '5', 'mul', 's+', '2', 'x', 's+', '2', 'mul', 's-', '2', 'asin', 'add', 'pow', 'x', 's+', '5', 'mul', 's+', '2', 'x']",asin(x**5 + 2*x)**2 - 2*asin(x**5 + 2*x) + 1,16*x**4/3 - 8*x**3/3 + 4*x**2 - 4*x + 1
"['add', 'pow', 'x', 's+', '3', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '6', 'add', 'mul', 's-', '3', 'pow', 'x', 's+', '4', 'mul', 's+', '3', 'pow', 'x', 's+', '5']",-x**6 + 3*x**5 - 3*x**4 + x**3,-3*x**4 + x**3
"['add', 'x', 'pow', 'acos', 'x', 's+', '5']",x + acos(x)**5,5*pi*x**4*(24 + 4*pi**2)/48 + 5*pi**2*x**3*(-12 - pi**2/4)/24 + 5*pi**3*x**2/4 + x*(1 - 5*pi**4/16) + pi**5/32
"['add', 'mul', 's-', '1', 'tan', 'add', 'mul', 's-', '1', 'tan', 'x', 'mul', 'pow', 's+', '2', 'x', 'pow', 'x', 'x', 'mul', 's+', '2', 'x']",2*x - tan(2**x*x**x - tan(x)),-tan(1)
"['mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'exp', 'x']",exp(x)/2,x**4/48 + x**3/12 + x**2/4 + x/2 + 1/2
"['mul', 'pow', 'add', 'x', 'exp', 'x', 's-', '1', 'pow', 'acos', 'x', 's+', '2']",acos(x)**2/(x + exp(x)),x**4*(92 + 156*pi + 261*pi**2/4)/24 + x**3*(-37*pi**2/4 - 22*pi - 12)/6 + x**2*(2 + 4*pi + 7*pi**2/4)/2 + x*(-pi**2/2 - pi) + pi**2/4
"['sin', 'sin', 'add', 'x', 'mul', 'pow', 'x', 's+', '2', 'pow', 'cos', 'pow', 'x', 's+', '5', 's+', '4']",sin(sin(x**2*cos(x**5)**4 + x)),-x**4 - x**3/3 + x**2 + x
"['add', 'acos', 'mul', 'x', 'sin', 'x', 'tan', 'x']",tan(x) + acos(x*sin(x)),x**4/6 + x**3/3 - x**2 + x + pi/2
"['add', 'pow', 'x', 's+', '5', 'mul', 's-', '1', 'sin', 'add', 'x', 'add', 'acos', 'x', 'cos', 'x']",x**5 - sin(x + cos(x) + acos(x)),x**4*(sin(1) + 3*cos(1))/24 - x**3*sin(1)/6 - x**2*sin(1)/2 - cos(1)
"['add', 'x', 'mul', 'x', 'exp', 'mul', 's-', '1', 'pow', 'x', 's+', '2']",x + x*exp(-x**2),-x**3 + 2*x
"['add', 'mul', 's-', '1', 'x', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '5', 'sin', 'x']",-x**5 - x + sin(x),-x**3/6
"['add', 'x', 'acot', 'acos', 'x']",x + acot(acos(x)),x**4*(-12*pi/(1 + pi**2/4)**2 + 4*pi/(1 + pi**2/4) + 6*pi**3/(1 + pi**2/4)**3)/(24*(1 + pi**2/4)) + x**3*(-2/(1 + pi**2/4) + 1 + 2*pi**2/(1 + pi**2/4)**2)/(6*(1 + pi**2/4)) + pi*x**2/(2*(1 + pi**2/4)**2) + x*(1/(1 + pi**2/4) + 1) + acot(pi/2)
"['add', 'mul', 's-', '1', 'x', 'mul', 's+', '2', 'mul', 'pow', 'x', 's+', '2', 'sin', 'x']",2*x**2*sin(x) - x,2*x**3 - x
"['add', 'mul', 'x', 'cos', 'cos', 'x', 'mul', 'cos', 'cos', 'x', 'exp', 'x']",x*cos(cos(x)) + exp(x)*cos(cos(x)),x**4*(-2*cos(1) + 5*sin(1))/24 + x**3*(cos(1) + 6*sin(1))/6 + x**2*(cos(1) + sin(1))/2 + 2*x*cos(1) + cos(1)
"['sin', 'add', 'x', 'cos', 'x']",sin(x + cos(x)),x**4*(-2*sin(1) + 7*cos(1))/24 + x**3*(-cos(1) + 3*sin(1))/6 + x**2*(-sin(1) - cos(1))/2 + x*cos(1) + sin(1)
"['add', 'pow', 'x', 's+', '4', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'add', 'mul', 'x', 'pow', 'asin', 'x', 's+', '3', 'add', 'mul', 's+', '3', 'mul', 'pow', 'x', 's+', '2', 'pow', 'asin', 'x', 's+', '2', 'mul', 's+', '3', 'mul', 'pow', 'x', 's+', '3', 'asin', 'x']",x**4 + 3*x**3*asin(x) + 3*x**2*asin(x)**2 - x**2 + x*asin(x)**3,8*x**4 - x**2
"['acot', 'mul', 'x', 'pow', 'cos', 'pow', 'x', 's+', '2', 's-', '1']",acot(x/cos(x**2)),x**3/3 - x + pi/2
"['add', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '1', 'cos', 'x', 'mul', 'x', 'cos', 'mul', 'x', 'pow', 'ln', 'x', 's-', '1']",x**2 + x*cos(x/log(x)) - cos(x),3*x**2/2 + x - 1
"['mul', 'pow', 'x', 's+', '2', 'mul', 'pow', 'cos', 'x', 's-', '1', 'acot', 'x']",x**2*acot(x)/cos(x),pi*x**4/4 - x**3 + pi*x**2/2
