prefix,function,expansion
"['cos', 'x']",cos(x),x**4/24 - x**2/2 + 1
"['acos', 'x']",acos(x),-x**3/6 - x + pi/2
"['add', 'pow', 'x', 's+', '3', 'mul', 's-', '1', 'pow', 'x', 's+', '4']",-x**4 + x**3,-x**4 + x**3
"['asin', 'x']",asin(x),x**3/6 + x
"['sin', 'add', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'x']",sin(x**2 - x),-x**4/2 + x**3/6 + x**2 - x
"['sin', 'x']",sin(x),-x**3/6 + x
"['add', 'x', 'add', 'pow', 'x', 's+', '2', 'pow', 'x', 's+', '1', '1']",x**11 + x**2 + x,x**2 + x
"['add', 'pow', 'x', 's+', '6', 'mul', 's+', '2', 'x']",x**6 + 2*x,2*x
"['pow', 'add', 's+', '1', 'x', 's-', '1']",1/(x + 1),x**4 - x**3 + x**2 - x + 1
"['tan', 'add', 'pow', 'x', 's+', '2', 'add', 'pow', 'x', 's+', '7', 'mul', 's+', '2', 'pow', 'x', 's+', '3']",tan(x**7 + 2*x**3 + x**2),2*x**3 + x**2
"['add', 'x', 'pow', 'x', 's+', '2']",x**2 + x,x**2 + x
"['add', 'mul', 's+', '2', 'pow', 'x', 's+', '3', 'mul', 's+', '2', 'mul', 'pow', 'x', 's+', '3', 'acot', 'x']",2*x**3*acot(x) + 2*x**3,-2*x**4 + x**3*(12 + 6*pi)/6
"['add', 'x', 'mul', 's+', '2', 'pow', 'x', 's+', '2']",2*x**2 + x,2*x**2 + x
"['mul', 'pow', 'x', 's+', '2', 'cos', 'x']",x**2*cos(x),-x**4/2 + x**2
"['add', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'x']",x**2 - x,x**2 - x
"['cos', 'x']",cos(x),x**4/24 - x**2/2 + 1
"['pow', 'x', 's+', '2']",x**2,x**2
"['pow', 'x', 's+', '2']",x**2,x**2
"['add', 's+', '4', 'add', 'mul', 's+', '4', 'pow', 'x', 's+', '2', 'mul', 's+', '8', 'x']",4*x**2 + 8*x + 4,4*x**2 + 8*x + 4
"['add', 'mul', 's+', '2', 'x', 'mul', 's+', '2', 'pow', 'x', 's+', '3']",2*x**3 + 2*x,2*x**3 + 2*x
"['mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'pow', 'x', 's+', '3']",x**3/2,x**3/2
"['pow', 'x', 's+', '4']",x**4,x**4
"['add', 'mul', 's-', '1', 'pow', 'x', 's+', '4', 'exp', 'x']",-x**4 + exp(x),-23*x**4/24 + x**3/6 + x**2/2 + x + 1
"['pow', 'x', 's+', '4']",x**4,x**4
"['mul', 'pow', 'add', 's+', '1', 'pow', 'x', 's+', '4', 's-', '1', 'sin', 'pow', 'x', 's+', '4']",sin(x**4)/(x**4 + 1),x**4
"['add', 'mul', 's-', '1', 'x', 'sin', 'x']",-x + sin(x),-x**3/6
"['sin', 'x']",sin(x),-x**3/6 + x
"['add', 'pow', 'x', 's+', '6', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '1', '8', 'add', 'mul', 's+', '2', 'x', 'mul', 's+', '2', 'mul', 'pow', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'pow', 'x', 'mul', 's+', '7', 'pow', 's+', '2', 's-', '1']",2*sqrt(2)*x**(7/2) - x**18 + x**6 + 2*x,2*x
"['add', 'x', 'pow', 'x', 's+', '2']",x**2 + x,x**2 + x
"['add', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'x']",x**2 - x,x**2 - x
"['mul', 'x', 'pow', 'acot', 'x', 's-', '1']",x/acot(x),4*x**4*(-1 + 12/pi**2)/(3*pi**2) + 8*x**3/pi**3 + 4*x**2/pi**2 + 2*x/pi
"['add', 'pow', 'x', 's+', '8', 'add', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '4', 'pow', 'x', 's+', '9', 'add', 'mul', 's+', '4', 'pow', 'x', 's+', '1', '1', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '0', 'acos', 'pow', 'tan', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",x**12 + 4*x**11 + 6*x**10 + 4*x**9 + x**8 + acos(sqrt(tan(x))),pi/2
"['pow', 'add', 'mul', 's+', '1', 'pow', 's+', '3', 's-', '1', 'mul', 'mul', 's+', '1', 'pow', 's+', '3', 's-', '1', 'x', 'x']",(x/3 + 1/3)**x,x**4*(log(3)**4 + 12*log(3) + 12*log(3)**2 + 20)/24 + x**3*(-6*log(3) - 3 - log(3)**3)/6 + x**2*(log(3)**2 + 2)/2 - x*log(3) + 1
"['mul', 's+', '2', 'x']",2*x,2*x
"['add', 'mul', 's-', '1', 'x', 'cos', 'pow', 'x', 's+', '2']",-x + cos(x**2),-x**4/2 - x + 1
"['add', 'mul', 'pow', 'add', 's+', '1', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'cos', 'x', 'cos', 'x']",sqrt(1 - x**2)*cos(x) + cos(x),5*x**4/24 - 3*x**2/2 + 2
"['add', 'mul', 'pow', 'x', 's+', '2', 'exp', 'mul', 's+', '2', 'x', 'add', 'mul', 'pow', 'acos', 'x', 's+', '2', 'exp', 'mul', 's+', '2', 'x', 'mul', 's+', '2', 'mul', 'x', 'mul', 'acos', 'x', 'exp', 'mul', 's+', '2', 'x']",x**2*exp(2*x) + 2*x*exp(2*x)*acos(x) + exp(2*x)*acos(x)**2,x**4*(-8*pi + 4*pi**2)/24 + x**3*(-pi + 2*pi**2)/6 + pi**2*x**2/2 + pi**2*x/2 + pi**2/4
"['add', 'x', 'cos', 'x']",x + cos(x),x**4/24 - x**2/2 + x + 1
"['add', 'x', 'add', 'pow', 'x', 's+', '4', 'mul', 's-', '1', 'pow', 'x', 's+', '3']",x**4 - x**3 + x,x**4 - x**3 + x
"['add', 'mul', 's-', '1', '0', '7', '3', '7', '4', '1', '8', '2', '4', 'pow', 'x', 's+', '3', '0', 'mul', 's+', '2', 'x']",-1073741824*x**30 + 2*x,2*x
"['tan', 'pow', 'mul', 'pow', 'add', 's+', '1', 'x', 's-', '1', 'ln', 'x', 'x']",tan((log(x)/(x + 1))**x),tan(1)
"['add', 's+', '8', 'mul', 's-', '2', 'x']",8 - 2*x,8 - 2*x
"['add', 'pow', 'acos', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's-', '1', 'x']",-x + sqrt(acos(x)),sqrt(2)*x**4*(-2/pi - 15/(2*pi**3))/(24*sqrt(pi)) - sqrt(2)*x**3*(12/pi**2 + 4)/(48*sqrt(pi)) - sqrt(2)*x**2/(4*pi**(3/2)) + x*(-1 - sqrt(2)/(2*sqrt(pi))) + sqrt(2)*sqrt(pi)/2
"['add', 'x', 'sin', 'pow', 'x', 'x']",x + sin(x**x),sin(1)
"['pow', 'x', 's+', '3']",x**3,x**3
"['add', 'x', 'pow', 'sin', 'x', 's+', '4']",x + sin(x)**4,x**4 + x
"['cos', 'x']",cos(x),x**4/24 - x**2/2 + 1
"['cos', 'x']",cos(x),x**4/24 - x**2/2 + 1
"['add', 'pow', 'x', 's+', '2', 'mul', 's+', '3', 'x']",x**2 + 3*x,x**2 + 3*x
"['tan', 'add', 's+', '1', 'x']",tan(x + 1),x**4*(1 + tan(1)**2)*(2 + 3*tan(1)**2)*tan(1)/3 + x**3*(1 + tan(1)**2)*(1 + 3*tan(1)**2)/3 + x**2*(1 + tan(1)**2)*tan(1) + x*(1 + tan(1)**2) + tan(1)
"['pow', 'cos', 'add', 'x', 'pow', 'x', 's+', '2', 's+', '5']",cos(x**2 + x)**5,5*x**4/24 - 5*x**3 - 5*x**2/2 + 1
"['pow', 'x', 's+', '2']",x**2,x**2
"['asin', 'add', 'pow', 'x', 's+', '3', 'add', 'pow', 'x', 's+', '2', '1', 'add', 'mul', 's+', '3', 'pow', 'x', 's+', '9', 'mul', 's+', '3', 'pow', 'x', 's+', '1', '5']",asin(x**21 + 3*x**15 + 3*x**9 + x**3),x**3
"['cos', 'pow', 'x', 's+', '2']",cos(x**2),1 - x**4/2
"['mul', 's+', '2', 'pow', 'x', 's+', '2']",2*x**2,2*x**2
"['pow', 'cos', 'x', 'x']",cos(x)**x,1 - x**3/2
"['add', 'x', 'mul', 's-', '1', 'cos', 'add', 'pow', 'x', 's+', '2', 'add', 'pow', 'acot', 'exp', 'x', 's+', '2', 'add', 'mul', 's+', '2', 'x', 'mul', 's+', '2', 'mul', 'x', 'acot', 'exp', 'x']",x - cos(x**2 + 2*x*acot(exp(x)) + 2*x + acot(exp(x))**2),x**4*(-16*(pi/8 + 1)**4*cos(pi**2/16) - 12*(pi/8 + 1)**2*sin(pi**2/16) + 3*cos(pi**2/16)/4 + 2*sin(pi**2/16) + 2*pi*(pi/8 + 1)*cos(pi**2/16))/24 + x**3*(-8*(pi/8 + 1)**3*sin(pi**2/16) + pi*sin(pi**2/16)/4 + 3*(pi/8 + 1)*cos(pi**2/16))/6 + x**2*(sin(pi**2/16)/2 + 4*(pi/8 + 1)**2*cos(pi**2/16))/2 + x*(1 + (pi/4 + 2)*sin(pi**2/16)) - cos(pi**2/16)
"['cos', 'x']",cos(x),x**4/24 - x**2/2 + 1
"['add', 'pow', 'x', 's+', '2', 'pow', 'x', 's+', '3']",x**3 + x**2,x**3 + x**2
"['add', 'mul', 's-', '1', 'mul', 'x', 'pow', 'cos', 'x', 's+', '4', 'add', 'mul', 's-', '1', 'mul', 'x', 'exp', 'mul', 's+', '4', 'x', 'add', 'mul', 's-', '6', 'mul', 'x', 'mul', 'pow', 'cos', 'x', 's+', '2', 'exp', 'mul', 's+', '2', 'x', 'add', 'mul', 's-', '4', 'mul', 'x', 'mul', 'pow', 'cos', 'x', 's+', '3', 'exp', 'x', 'mul', 's-', '4', 'mul', 'x', 'mul', 'cos', 'x', 'exp', 'mul', 's+', '3', 'x']",-x*exp(4*x) - 4*x*exp(3*x)*cos(x) - 6*x*exp(2*x)*cos(x)**2 - 4*x*exp(x)*cos(x)**3 - x*cos(x)**4,-40*x**4/3 - 24*x**3 - 32*x**2 - 16*x
"['tan', 'x']",tan(x),x**3/3 + x
"['mul', 's+', '2', 'x']",2*x,2*x
"['add', 'pow', 'x', 's+', '4', 'mul', 's-', '1', 'pow', 'x', 's+', '3']",x**4 - x**3,x**4 - x**3
"['pow', 'x', 's+', '2']",x**2,x**2
"['tan', 'x']",tan(x),x**3/3 + x
"['exp', 'x']",exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
"['mul', 'x', 'tan', 'cos', 'x']",x*tan(cos(x)),x**3*(-3*tan(1)**2 - 3)/6 + x*tan(1)
"['add', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '8', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's+', '1', '6', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '2', '4', 'pow', 'x', 's+', '8', 'mul', 's+', '3', '2', 'pow', 'x', 's+', '6']",x**12 + 8*x**10 + 24*x**8 + 32*x**6 + 16*x**4,16*x**4
"['add', 'x', 'add', 'pow', 'x', 's+', '2', 'sin', 'x']",x**2 + x + sin(x),-x**3/6 + x**2 + 2*x
"['add', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '6', 'mul', 'pow', 'x', 's+', '2', 'pow', 'sin', 'add', 'x', 'mul', 'mul', 's+', '1', 'pow', 's+', '4', 's-', '1', 'pi', 's+', '2', 'add', 'mul', 's+', '2', 'mul', 'x', 'mul', 'pow', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'pow', 'sin', 'add', 'x', 'mul', 'mul', 's+', '1', 'pow', 's+', '4', 's-', '1', 'pi', 's+', '3', 'mul', 's+', '3', 'mul', 'pow', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 'pow', 'x', 's+', '3', 'sin', 'add', 'x', 'mul', 'mul', 's+', '1', 'pow', 's+', '4', 's-', '1', 'pi']",x**4 + 3*sqrt(2)*x**3*sin(x + pi/4) + 6*x**2*sin(x + pi/4)**2 + 2*sqrt(2)*x*sin(x + pi/4)**3,3*x**4/2 + 21*x**3/2 + 6*x**2 + x
"['add', 'x', 'add', 'mul', 's-', '1', 'mul', 'x', 'tan', 'x', 'mul', 's+', '2', 'mul', 'pow', 'x', 's+', '2', 'tan', 'x']",2*x**2*tan(x) - x*tan(x) + x,-x**4/3 + 2*x**3 - x**2 + x
"['cos', 'cos', 'pow', 'x', 's+', '2']",cos(cos(x**2)),x**4*sin(1)/2 + cos(1)
"['mul', 's+', '2', 'x']",2*x,2*x
"['add', 'mul', 'x', 'mul', 'acot', 'x', 'asin', 'x', 'mul', 's-', '1', 'mul', 'pow', 'x', 's+', '4', 'mul', 'acot', 'x', 'asin', 'x']",-x**4*acot(x)*asin(x) + x*acot(x)*asin(x),pi*x**4/12 - x**3 + pi*x**2/2
"['add', 'pow', 'x', 's+', '3', 'mul', 's-', '1', 'x']",x**3 - x,x**3 - x
"['add', 'x', 'cos', 'x']",x + cos(x),x**4/24 - x**2/2 + x + 1
"['add', 'pow', 'x', 's+', '5', 'mul', 's-', '1', 'x']",x**5 - x,-x
"['pow', 'acos', 'x', 'mul', 's+', '2', 'x']",acos(x)**(2*x),x**4*(-192*log(pi/2)**2/pi - 4*(32/pi**2 + 4)/pi - 192*log(pi/2)/pi**2 + 16*log(pi/2)**4 + 192/pi**2)/24 + x**3*(-48*log(pi/2)/pi - 24/pi**2 + 8*log(pi/2)**3)/6 + x**2*(-8/pi + 4*log(pi/2)**2)/2 + 2*x*log(pi/2) + 1
"['add', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'cos', 'mul', 's+', '2', 'pow', 'x', 's+', '2']",x**2 - cos(2*x**2),2*x**4 + x**2 - 1
"['add', 'mul', 's-', '1', 'x', 'mul', 's+', '4', 'pow', 'x', 's+', '2']",4*x**2 - x,4*x**2 - x
"['add', 'mul', 's-', '1', 'x', 'add', 'mul', 's-', '1', 'sin', 'tan', 'x', 'tan', 's+', '1']",-x - sin(tan(x)) + tan(1),-x**3/6 - 2*x + tan(1)
"['mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'pi']",pi/2,pi/2
"['add', 'pow', 'x', 's+', '3', 'pow', 'x', 's+', '4']",x**4 + x**3,x**4 + x**3
"['add', 's+', '1', 'x']",x + 1,x + 1
"['add', 's+', '1', 'mul', 's-', '1', 'pow', 'x', 's+', '2']",1 - x**2,1 - x**2
"['add', 'x', 'asin', 'x']",x + asin(x),x**3/6 + 2*x
"['mul', 's+', '2', 'x']",2*x,2*x
"['add', 'mul', 's-', '3', 'pow', 'x', 's+', '2', 'mul', 's+', '3', 'x']",-3*x**2 + 3*x,-3*x**2 + 3*x
"['mul', 's-', '1', 'mul', 'pow', 'x', 's+', '2', 'pow', 'add', 's-', '1', 'x', 's-', '1']",-x**2/(x - 1),x**4 + x**3 + x**2
"['add', 'mul', 's-', '1', 'x', 'asin', 'pow', 'x', 's+', '2']",-x + asin(x**2),x**2 - x
"['mul', 'x', 'cos', 's+', '1']",x*cos(1),x*cos(1)
"['pow', 'x', 's+', '2']",x**2,x**2
"['add', 'pow', 'x', 's+', '8', 'mul', 's+', '3', 'pow', 'x', 's+', '3']",x**8 + 3*x**3,3*x**3
"['mul', 's+', '4', 'pow', 'x', 's+', '2']",4*x**2,4*x**2
"['pow', 'acot', 'x', 's+', '6']",acot(x)**6,pi**2*x**4*(15 - 5*pi**2/2)/4 + pi**3*x**3*(-10 + pi**2/4)/4 + 15*pi**4*x**2/16 - 3*pi**5*x/16 + pi**6/64
"['add', 'pow', 'x', 's+', '4', 'add', 'mul', 's-', '1', 'x', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'pow', 'x', 'mul', 's+', '5', 'pow', 's+', '2', 's-', '1']",-x**(5/2) + x**4 - x**2 - x,-x**2 - x
"['add', 'x', 'add', 'mul', 's-', '1', 'cos', 'x', 'mul', 's-', '1', 'sin', 'x']",x - sin(x) - cos(x),-x**4/24 + x**3/6 + x**2/2 - 1
"['add', 'x', 'asin', 'x']",x + asin(x),x**3/6 + 2*x
"['pow', 'x', 's+', '2']",x**2,x**2
"['tan', 'pow', 'x', 'add', 'mul', 's-', '1', 'x', 'sin', 'x']",tan(x**(-x + sin(x))),tan(1)
"['pow', 'x', 's+', '2']",x**2,x**2
"['add', 'x', 'sin', 'x']",x + sin(x),-x**3/6 + 2*x
"['pow', 'x', 's+', '2']",x**2,x**2
"['add', 'x', 'mul', 's-', '1', 'acot', 'x']",x - acot(x),-x**3/3 + 2*x - pi/2
"['add', 'pow', 'x', 's+', '5', 'mul', 's+', '4', 'pow', 'x', 's+', '2']",x**5 + 4*x**2,4*x**2
"['acos', 'mul', 's+', '4', 'mul', 'pow', 'x', 's+', '2', 'cos', 'tan', 'mul', 's+', '1', '6', 'pow', 'x', 's+', '4']",acos(4*x**2*cos(tan(16*x**4))),-4*x**2 + pi/2
"['pow', 'x', 's+', '4']",x**4,x**4
"['add', 'pow', 'x', 's+', '2', 'mul', 'pow', 'x', 's+', '2', 'cos', 'x']",x**2*cos(x) + x**2,-x**4/2 + 2*x**2
"['mul', 's+', '2', 'x']",2*x,2*x
"['mul', 's+', '3', 'x']",3*x,3*x
"['add', 'mul', 'x', 'asin', 'x', 'mul', 'pow', 'x', 's+', '6', 'pow', 'cos', 'pow', 'x', 's+', '4', 's+', '4']",x**6*cos(x**4)**4 + x*asin(x),x**4/6 + x**2
"['add', 's+', '1', 'x']",x + 1,x + 1
"['add', 's+', '1', 'mul', 's+', '2', 'x']",2*x + 1,2*x + 1
"['mul', 'x', 'exp', 'mul', 's-', '1', 'x']",x*exp(-x),-x**4/6 + x**3/2 - x**2 + x
"['acot', 'add', 'x', 'mul', 'pow', 'acot', 'x', 's-', '1', 'mul', 'sin', 'x', 'sin', 'pow', 'x', 's+', '2']",acot(x + sin(x)*sin(x**2)/acot(x)),-4*x**4/pi**2 + x**3*(2 - 12/pi)/6 - x + pi/2
"['pow', 'x', 's+', '4']",x**4,x**4
"['acot', 'x']",acot(x),x**3/3 - x + pi/2
"['cos', 'x']",cos(x),x**4/24 - x**2/2 + 1
"['add', 's+', '1', 'x']",x + 1,x + 1
"['mul', 'x', 'pow', 'add', 's+', '6', '4', 'add', 'mul', 's-', '1', 'tan', 'x', 'cos', 'x', 's-', '1']",x/(cos(x) - tan(x) + 64),4423*x**4/53551875 + 67*x**3/549250 + x**2/4225 + x/65
"['pow', 'x', 's+', '2']",x**2,x**2
"['acos', 'sin', 'mul', 's+', '2', 'x']",acos(sin(2*x)),-2*x + pi/2
"['add', 'x', 'add', 'pow', 'x', 's+', '2', 'mul', 'x', 'pow', 'acot', 'x', 's+', '6']",x**2 + x*acot(x)**6 + x,pi**2*x**4*(-10*pi + pi**3/4)/4 + 15*pi**4*x**3/16 + x**2*(2 - 3*pi**5/8)/2 + x*(1 + pi**6/64)
"['add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'mul', 'x', 'sin', 'mul', 's+', '3', 'x']",-x**2 + x*sin(3*x),-9*x**4/2 + 2*x**2
"['add', 'x', 'pow', 'x', 's+', '2']",x**2 + x,x**2 + x
"['cos', 's+', '1']",cos(1),cos(1)
"['mul', 's-', '2', 'pow', 'x', 's+', '2']",-2*x**2,-2*x**2
"['mul', 's+', '4', 'pow', 'x', 's+', '4']",4*x**4,4*x**4
"['add', 'x', 'pow', 'x', 's+', '3']",x**3 + x,x**3 + x
"['add', 'x', 'sin', 'x']",x + sin(x),-x**3/6 + 2*x
"['add', 's+', '1', 'sin', 'x']",sin(x) + 1,-x**3/6 + x + 1
"['add', 'pow', 'x', 's+', '3', 'mul', 'pow', 'x', 's+', '2', 'pow', 'acos', 'x', 's+', '2']",x**3 + x**2*acos(x)**2,x**4 + x**3*(6 - 6*pi)/6 + pi**2*x**2/4
"['mul', 'exp', 'pow', 'x', 's+', '5', 'exp', 'mul', 's-', '2', 'pow', 'x', 's+', '2']",exp(-2*x**2)*exp(x**5),2*x**4 - 2*x**2 + 1
"['mul', 's+', '2', 'mul', 'x', 'mul', 'sin', 'x', 'tan', 'mul', 's+', '2', 'pow', 'x', 's+', '2']",2*x*sin(x)*tan(2*x**2),4*x**4
"['acot', 'x']",acot(x),x**3/3 - x + pi/2
"['cos', 'mul', 's+', '2', 'x']",cos(2*x),2*x**4/3 - 2*x**2 + 1
"['mul', 'pow', 'x', 's+', '2', 'pow', 'tan', 'pow', 'cos', 'x', 's+', '1', '5', 's+', '2']",x**2*tan(cos(x)**15)**2,-15*x**4*(1 + tan(1)**2)*tan(1) + x**2*tan(1)**2
"['add', 'x', 'mul', 's-', '2', 'pow', 'x', 's+', '2']",-2*x**2 + x,-2*x**2 + x
"['pow', 'x', 's+', '3']",x**3,x**3
"['pow', 'x', 's+', '2']",x**2,x**2
"['sin', 'x']",sin(x),-x**3/6 + x
"['add', 'pow', 'x', 's+', '6', 'mul', 's+', '2', 'x']",x**6 + 2*x,2*x
"['mul', 's+', '2', 'x']",2*x,2*x
"['mul', 'x', 'pow', 'add', 'mul', 's+', '3', 'x', 'add', 'acos', 'pow', 'x', 's+', '6', 'asin', 'x', 's-', '1']",x/(3*x + acos(x**6) + asin(x)),x**4*(-6144/pi**2 - 4)/(6*pi**2) + 128*x**3/pi**3 - 16*x**2/pi**2 + 2*x/pi
"['mul', 's+', '2', 'x']",2*x,2*x
"['pow', 'x', 's+', '4']",x**4,x**4
"['mul', 'x', 'pow', 'add', 'x', 'exp', 'x', 's-', '1']",x/(x + exp(x)),-37*x**4/6 + 7*x**3/2 - 2*x**2 + x
"['add', 'x', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'mul', 'x', 'sin', 'x']",-x**2 - x*sin(x) + x,x**4/6 - 2*x**2 + x
"['add', 'x', 'add', 'mul', 'x', 'pow', 'cos', 'x', 's-', '4', 'mul', 'pow', 'x', 's+', '2', 'pow', 'cos', 'x', 's-', '4']",x**2/cos(x)**4 + x + x/cos(x)**4,2*x**4 + 2*x**3 + x**2 + 2*x
"['pow', 'x', 's+', '2']",x**2,x**2
"['mul', 's+', '1', '6', 'pow', 'x', 's+', '4']",16*x**4,16*x**4
"['cos', 'x']",cos(x),x**4/24 - x**2/2 + 1
"['add', 'mul', 's-', '1', 'exp', 'x', 'add', 'mul', 'pow', 'x', 's+', '3', 'exp', 'x', 'add', 'mul', 's-', '3', 'mul', 'pow', 'x', 's+', '2', 'exp', 'x', 'mul', 's+', '3', 'mul', 'x', 'exp', 'x']",x**3*exp(x) - 3*x**2*exp(x) + 3*x*exp(x) - exp(x),-x**4/24 - 2*x**3/3 - x**2/2 + 2*x - 1
"['add', 'pow', 'x', 's+', '5', 'mul', 's+', '2', 'x']",x**5 + 2*x,2*x
"['add', 'mul', 's-', '1', 'ln', 'exp', 'pow', 'x', 's+', '2', 'mul', 's+', '2', 'pow', 'x', 's+', '2']",2*x**2 - log(exp(x**2)),x**2
"['asin', 'x']",asin(x),x**3/6 + x
"['add', 'mul', 's+', '2', 'x', 'tan', 'add', 's+', '1', 'x']",2*x + tan(x + 1),x**4*(1 + tan(1)**2)*(2 + 3*tan(1)**2)*tan(1)/3 + x**3*(1 + tan(1)**2)*(1 + 3*tan(1)**2)/3 + x**2*(1 + tan(1)**2)*tan(1) + x*(tan(1)**2 + 3) + tan(1)
"['add', 's+', '1', 'add', 'x', 'asin', 'x']",x + asin(x) + 1,x**3/6 + 2*x + 1
"['pow', 'x', 's+', '2']",x**2,x**2
"['pow', 'add', 's+', '1', 'pow', 'x', 's+', '3', 's-', '1']",1/(x**3 + 1),1 - x**3
"['add', 'x', 'pow', 'x', 's+', '2']",x**2 + x,x**2 + x
"['add', 'x', 'tan', 'add', 'mul', 'x', 'cos', 'pow', 'tan', 'x', 's+', '3', 'mul', 'x', 'sin', 'x']",x + tan(x*sin(x) + x*cos(tan(x)**3)),5*x**4/6 + x**3/3 + x**2 + 2*x
"['add', 's-', '1', 'add', 'pow', 'x', 's+', '5', 'add', 'pow', 'sin', 'pow', 'x', 's+', '2', 's+', '5', 'add', 'mul', 's-', '1', '0', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '1', '0', 'pow', 'sin', 'pow', 'x', 's+', '2', 's+', '2', 'add', 'mul', 's-', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's-', '5', 'pow', 'sin', 'pow', 'x', 's+', '2', 's+', '4', 'add', 'mul', 's+', '5', 'x', 'add', 'mul', 's+', '5', 'sin', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '1', '0', 'pow', 'x', 's+', '3', 'add', 'mul', 's+', '1', '0', 'pow', 'sin', 'pow', 'x', 's+', '2', 's+', '3', 'add', 'mul', 's-', '3', '0', 'mul', 'pow', 'x', 's+', '2', 'pow', 'sin', 'pow', 'x', 's+', '2', 's+', '2', 'add', 'mul', 's-', '2', '0', 'mul', 'x', 'pow', 'sin', 'pow', 'x', 's+', '2', 's+', '3', 'add', 'mul', 's-', '2', '0', 'mul', 'x', 'sin', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '2', '0', 'mul', 'pow', 'x', 's+', '3', 'sin', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '5', 'mul', 'x', 'pow', 'sin', 'pow', 'x', 's+', '2', 's+', '4', 'add', 'mul', 's+', '5', 'mul', 'pow', 'x', 's+', '4', 'sin', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '1', '0', 'mul', 'pow', 'x', 's+', '2', 'pow', 'sin', 'pow', 'x', 's+', '2', 's+', '3', 'add', 'mul', 's+', '1', '0', 'mul', 'pow', 'x', 's+', '3', 'pow', 'sin', 'pow', 'x', 's+', '2', 's+', '2', 'add', 'mul', 's+', '3', '0', 'mul', 'x', 'pow', 'sin', 'pow', 'x', 's+', '2', 's+', '2', 'mul', 's+', '3', '0', 'mul', 'pow', 'x', 's+', '2', 'sin', 'pow', 'x', 's+', '2']",x**5 + 5*x**4*sin(x**2) - 5*x**4 + 10*x**3*sin(x**2)**2 - 20*x**3*sin(x**2) + 10*x**3 + 10*x**2*sin(x**2)**3 - 30*x**2*sin(x**2)**2 + 30*x**2*sin(x**2) - 10*x**2 + 5*x*sin(x**2)**4 - 20*x*sin(x**2)**3 + 30*x*sin(x**2)**2 - 20*x*sin(x**2) + 5*x + sin(x**2)**5 - 5*sin(x**2)**4 + 10*sin(x**2)**3 - 10*sin(x**2)**2 + 5*sin(x**2) - 1,15*x**4 - 10*x**3 - 5*x**2 + 5*x - 1
"['tan', 'add', 'pow', 'asin', 'x', 's+', '5', 'sin', 'x']",tan(sin(x) + asin(x)**5),x**3/6 + x
"['pow', 'x', 's+', '2']",x**2,x**2
"['add', 'x', 'cos', 'add', 'x', 'pow', 'x', 's+', '2']",x + cos(x**2 + x),-11*x**4/24 - x**3 - x**2/2 + x + 1
"['cos', 'x']",cos(x),x**4/24 - x**2/2 + 1
"['sin', 'pow', 'pow', 'add', 'x', 'tan', 'x', 's-', '1', 'x']",sin((1/(x + tan(x)))**x),sin(1)
"['tan', 'sin', 'x']",tan(sin(x)),x**3/6 + x
"['add', 'x', 'ln', 'add', 'mul', 's-', '1', 'x', 'sin', 'pow', 'x', 'x']",x + log(-x + sin(x**x)),log(sin(1))
"['pow', 'x', 's+', '2']",x**2,x**2
"['add', 'pow', 'x', 'mul', 's+', '3', 'pow', 's+', '2', 's-', '1', 'mul', 's+', '2', 'x']",x**(3/2) + 2*x,2*x
"['add', 'x', 'pow', 'x', 's+', '2']",x**2 + x,x**2 + x
